id,t[s],q[veh/h],v[km/h]
1,0,0,NaN
1,60,360,118.166
1,120,540,111.962
1,180,540,118.991
1,240,720,117.396
1,300,660,111.395
1,360,600,129.495
1,420,1020,115.721
1,480,660,123.195
1,540,1080,106.044
1,600,1020,118.125
1,660,780,114.459
1,720,1020,119.226
1,780,1260,101.857
1,840,1140,110.412
1,900,1080,107.552
1,960,1080,111.518
1,1020,1020,108.385
1,1080,600,123.334
1,1140,1380,105.414
1,1200,1680,108.928
1,1260,1140,113.256
1,1320,960,119.287
1,1380,1260,108.133
1,1440,1380,112.538
1,1500,960,118.192
1,1560,1740,109.034
1,1620,1080,108.029
1,1680,540,108.633
1,1740,300,116.407
1,1800,1020,106.935
1,1860,780,112.901
1,1920,660,114.088
1,1980,780,117.346
1,2040,960,120.257
1,2100,420,128.972
1,2160,300,103.006
1,2220,540,125.905
1,2280,360,127.584
1,2340,720,111.418
1,2400,600,119.288
1,2460,420,107.61
1,2520,420,118.858
1,2580,540,130.815
1,2640,540,121.596
1,2700,180,126.863
1,2760,360,126.528
1,2820,360,106.591
1,2880,600,115.573
1,2940,900,123.398
1,3000,480,111.937
1,3060,300,124.853
1,3120,180,110.712
1,3180,300,125.068
1,3240,480,107.988
1,3300,180,124.955
1,3360,480,121.515
1,3420,540,108.642
1,3480,120,144.536
1,3540,180,123.012
1,3600,0,NaN
2,0,0,NaN
2,60,540,119.334
2,120,780,106.559
2,180,600,98.469
2,240,780,111.845
2,300,900,105.038
2,360,540,111.917
2,420,1200,99.443
2,480,720,111.097
2,540,780,100.527
2,600,1200,113.099
2,660,1020,95.321
2,720,900,101.979
2,780,900,101.097
2,840,1140,105.86
2,900,1080,105.215
2,960,960,93.945
2,1020,1020,105.891
2,1080,720,109.114
2,1140,1440,95.051
2,1200,1260,95.692
2,1260,1440,103.463
2,1320,960,97.688
2,1380,960,94.29
2,1440,1260,96.131
2,1500,840,100.228
2,1560,1320,93.744
2,1620,1080,97.54
2,1680,600,108.272
2,1740,540,105.888
2,1800,960,102.602
2,1860,540,106.217
2,1920,780,106.722
2,1980,840,100.536
2,2040,840,103.422
2,2100,600,111.965
2,2160,540,103.762
2,2220,660,109.489
2,2280,360,108.693
2,2340,780,105.82
2,2400,540,107.671
2,2460,660,112.219
2,2520,420,99.329
2,2580,660,107.194
2,2640,420,99.229
2,2700,360,111.539
2,2760,360,102.63
2,2820,420,114.801
2,2880,660,106.296
2,2940,660,94.236
2,3000,720,111.142
2,3060,780,115.001
2,3120,480,117.028
2,3180,420,113.233
2,3240,660,115.49
2,3300,660,107.222
2,3360,660,114.93
2,3420,540,103.74
2,3480,660,112.762
2,3540,720,113.482
3,0,240,121.942
3,60,240,118.194
3,120,480,114.978
3,180,720,115.216
3,240,480,123.41
3,300,780,116.109
3,360,780,123.916
3,420,840,120.928
3,480,1020,117.612
3,540,1020,108.98
3,600,1140,117.871
3,660,900,112.551
3,720,900,120.518
3,780,1320,110.063
3,840,1380,103.457
3,900,1200,108.541
3,960,1020,116.5
3,1020,1140,109.289
3,1080,660,124.419
3,1140,960,111.519
3,1200,1920,108.467
3,1260,1680,106.465
3,1320,900,117.744
3,1380,1020,115.508
3,1440,1560,118.227
3,1500,1140,105.283
3,1560,1500,109.663
3,1620,1560,105.27
3,1680,780,112.322
3,1740,480,102.365
3,1800,900,101.125
3,1860,600,118.062
3,1920,780,105.617
3,1980,720,116.654
3,2040,960,117.567
3,2100,600,121.287
3,2160,300,120.67
3,2220,660,114.428
3,2280,420,125.336
3,2340,480,116.395
3,2400,660,121.202
3,2460,300,109.235
3,2520,480,112.255
3,2580,660,126.053
3,2640,720,118.636
3,2700,240,137.456
3,2760,360,114.162
3,2820,360,120.676
3,2880,480,118.916
3,2940,720,122.744
3,3000,780,115.425
3,3060,240,133.241
3,3120,300,117.366
3,3180,300,116.351
3,3240,300,111.401
3,3300,180,120.336
3,3360,420,123.079
3,3420,540,116.428
3,3480,120,93.544
3,3540,240,124.656
4,0,240,100.861
4,60,840,119.387
4,120,1140,110.254
4,180,1080,97.813
4,240,1320,105.956
4,300,1260,102.002
4,360,840,99.182
4,420,1380,108.165
4,480,1380,101.087
4,540,1320,93.583
4,600,1500,102.946
4,660,1680,99.573
4,720,1260,102.608
4,780,1500,95.184
4,840,1980,89.701
4,900,1620,101.759
4,960,1140,96.589
4,1020,1800,89.928
4,1080,1200,104.248
4,1140,1500,90.767
4,1200,1800,83.534
4,1260,2040,87.676
4,1320,1380,105.812
4,1380,1560,93.704
4,1440,1680,94.713
4,1500,1920,93.107
4,1560,1800,92.481
4,1620,1680,91.282
4,1680,1200,100.807
4,1740,1140,102.465
4,1800,1620,98.459
4,1860,1020,111.583
4,1920,1380,105.535
4,1980,1140,103.621
4,2040,1200,104.079
4,2100,1140,108.39
4,2160,840,110.594
4,2220,1320,98.069
4,2280,720,110.007
4,2340,1080,107.79
4,2400,900,103.155
4,2460,1320,110.589
4,2520,1260,101.795
4,2580,960,102.563
4,2640,1080,99.136
4,2700,960,108.839
4,2760,1140,100.345
4,2820,960,111.008
4,2880,1080,107.272
4,2940,960,97.378
4,3000,1320,104.96
4,3060,900,113.369
4,3120,780,112.538
4,3180,720,112.37
4,3240,1320,99.71
4,3300,840,112.861
4,3360,1260,109.629
4,3420,960,100.579
4,3480,1020,114.25
4,3540,900,110.076
