id,t[s],q[veh/h],v[km/h]
1,0,0,NaN
1,60,300,124.04
1,120,960,108.45
1,180,840,113.381
1,240,1140,108.357
1,300,1260,115.133
1,360,1320,110.902
1,420,1500,96.952
1,480,1500,94.795
1,540,1620,106.856
1,600,1020,114.958
1,660,1860,114.123
1,720,1500,96.032
1,780,1380,98.748
1,840,1560,103.471
1,900,1620,105.626
1,960,1380,110.282
1,1020,1260,105.671
1,1080,1980,102.283
1,1140,1740,100.38
1,1200,1800,103.301
1,1260,2040,100.896
1,1320,1500,92.274
1,1380,1920,93.12
1,1440,1800,83.99
1,1500,1680,58.611
1,1560,1320,22.274
1,1620,1020,17.817
1,1680,1140,16.345
1,1740,1320,20.422
1,1800,1200,18.757
1,1860,1080,15.564
1,1920,1380,27.601
1,1980,1200,22.511
1,2040,1440,28.748
1,2100,1080,23.719
1,2160,1080,16.814
1,2220,1140,19.035
1,2280,1320,18.957
1,2340,1200,16.675
1,2400,1380,23.508
1,2460,1140,14.89
1,2520,1020,17.607
1,2580,660,12.259
1,2640,780,11.346
1,2700,1080,15.401
1,2760,900,13.821
1,2820,1320,19.033
1,2880,1680,42.153
1,2940,1320,38.8
1,3000,660,73.436
1,3060,1140,105.414
1,3120,900,114.622
1,3180,780,116.926
1,3240,840,113.188
1,3300,540,116.793
1,3360,1140,119.195
1,3420,780,123.905
1,3480,780,126.376
1,3540,480,125.26
1,3600,0,NaN
2,0,0,NaN
2,60,720,117.548
2,120,900,106.078
2,180,1020,94.334
2,240,1380,90.018
2,300,1200,105.802
2,360,1020,94.479
2,420,1260,87.675
2,480,1680,93.445
2,540,1320,93.508
2,600,840,94.891
2,660,1320,90.328
2,720,1440,94.772
2,780,1560,88.998
2,840,1320,89.15
2,900,1440,93.405
2,960,1140,103.049
2,1020,1260,90.043
2,1080,1320,86.758
2,1140,1140,89.989
2,1200,1080,94.827
2,1260,1500,90.315
2,1320,1560,86.808
2,1380,1500,82.853
2,1440,1620,76.904
2,1500,1080,28.153
2,1560,540,9.353
2,1620,360,7.359
2,1680,420,9.543
2,1740,300,4.93
2,1800,420,9.439
2,1860,480,10.181
2,1920,360,7.98
2,1980,540,11.303
2,2040,420,9.438
2,2100,660,10.529
2,2160,360,5.026
2,2220,540,8.665
2,2280,540,11.48
2,2340,420,9.362
2,2400,840,21.644
2,2460,360,8.855
2,2520,660,12.158
2,2580,660,14.435
2,2640,660,14.818
2,2700,720,15.461
2,2760,600,10.049
2,2820,1260,24.303
2,2880,1860,44.327
2,2940,1620,34.811
2,3000,840,52.557
2,3060,1080,91.223
2,3120,780,108.897
2,3180,720,103.919
2,3240,360,111.64
2,3300,540,94.567
2,3360,540,92.464
2,3420,480,97.34
2,3480,720,92.058
2,3540,360,108.752
3,0,60,111.133
3,60,360,125.122
3,120,720,115.617
3,180,1020,104.039
3,240,1200,111.789
3,300,1380,115.874
3,360,1320,113.077
3,420,1380,101.062
3,480,1740,98.231
3,540,1980,97.38
3,600,1200,109.391
3,660,1500,116.192
3,720,1680,101.553
3,780,1680,89.583
3,840,1920,89.638
3,900,1560,98.588
3,960,1740,112.997
3,1020,900,115.733
3,1080,1920,106.009
3,1140,1920,89.242
3,1200,1920,96.967
3,1260,2100,103.896
3,1320,1560,104.546
3,1380,1980,86.009
3,1440,1620,83.239
3,1500,1320,82.916
3,1560,1200,84.993
3,1620,900,82.791
3,1680,1140,81.141
3,1740,1080,83.353
3,1800,1080,84.79
3,1860,1020,82.53
3,1920,1320,83.101
3,1980,1020,82.177
3,2040,1200,83.97
3,2100,1020,82.034
3,2160,960,80.817
3,2220,1080,81.363
3,2280,1020,81.555
3,2340,1260,83.588
3,2400,1020,72.345
3,2460,1140,82.402
3,2520,1020,79.345
3,2580,960,77.781
3,2640,1080,79.411
3,2700,1080,77.782
3,2760,1080,81.319
3,2820,1620,78.627
3,2880,1620,79.531
3,2940,1380,77.178
3,3000,1680,88.892
3,3060,1440,93.342
3,3120,900,123.455
3,3180,900,111.271
3,3240,840,117.124
3,3300,480,121.347
3,3360,1260,114.523
3,3420,840,121.528
3,3480,660,118.214
3,3540,720,129.008
4,0,420,101.899
4,60,960,113.614
4,120,1380,104.961
4,180,1560,91.608
4,240,1500,90.322
4,300,1980,89.818
4,360,1680,101.095
4,420,1440,90.715
4,480,2280,85.759
4,540,2100,78.358
4,600,1680,87.927
4,660,1740,92.146
4,720,1860,88.799
4,780,2220,80.239
4,840,1980,89.22
4,900,2340,86.722
4,960,1860,89.986
4,1020,1740,96.512
4,1080,2100,87.683
4,1140,2400,80.024
4,1200,2220,81.771
4,1260,2160,86.374
4,1320,1980,86.762
4,1380,2160,80.642
4,1440,1740,72.164
4,1500,1560,76.2
4,1560,1320,79.401
4,1620,1200,78.626
4,1680,1500,76.829
4,1740,1200,73.813
4,1800,1260,77.023
4,1860,1380,76.404
4,1920,1320,73.471
4,1980,1260,76.463
4,2040,1440,80.079
4,2100,1680,74.372
4,2160,1380,77.142
4,2220,1380,72.786
4,2280,1440,77.057
4,2340,1560,77.815
4,2400,1440,69.531
4,2460,1320,76.474
4,2520,1320,75.184
4,2580,1260,74.834
4,2640,1380,73.861
4,2700,1440,75.573
4,2760,1440,79.232
4,2820,1800,70.008
4,2880,2040,70.355
4,2940,1800,70.932
4,3000,1800,82.542
4,3060,1980,85.758
4,3120,1200,105.175
4,3180,1440,97.232
4,3240,1380,101.844
4,3300,1080,101.258
4,3360,1140,89.752
4,3420,1440,104.687
4,3480,960,88.611
4,3540,960,108.438
