id,t[s],q[veh/h],v[km/h]
1,0,0,NaN
1,60,300,123.278
1,120,1020,114.511
1,180,960,113.67
1,240,1260,104.224
1,300,1680,100.861
1,360,1380,108.028
1,420,1080,109.406
1,480,1440,104.248
1,540,1200,112.216
1,600,1800,106.625
1,660,1560,106.376
1,720,1560,102.268
1,780,1500,103.479
1,840,1800,111.538
1,900,1560,106.875
1,960,1740,104.281
1,1020,1980,105.902
1,1080,1560,99.139
1,1140,1680,104.397
1,1200,1800,93.848
1,1260,1500,72.752
1,1320,1500,45.051
1,1380,1320,18.274
1,1440,960,17.076
1,1500,1140,16.074
1,1560,1140,16.885
1,1620,1260,23.14
1,1680,840,15.212
1,1740,1080,13.644
1,1800,960,13.977
1,1860,960,14.755
1,1920,1200,23.53
1,1980,780,17.404
1,2040,1080,15.386
1,2100,1260,24.395
1,2160,960,16.39
1,2220,1080,17.436
1,2280,1020,15.155
1,2340,960,14.93
1,2400,1260,20.784
1,2460,1260,20.396
1,2520,840,16.262
1,2580,1200,15.906
1,2640,1020,26.135
1,2700,900,18.417
1,2760,1020,18.858
1,2820,900,13.801
1,2880,1020,16.976
1,2940,900,12.004
1,3000,900,14.764
1,3060,1380,29.281
1,3120,1920,50.774
1,3180,1560,29.549
1,3240,1560,35.598
1,3300,960,14.86
1,3360,1200,19.673
1,3420,1020,19.853
1,3480,1380,29.658
1,3540,1800,53.071
1,3600,0,NaN
2,0,0,NaN
2,60,720,117.357
2,120,840,98.494
2,180,900,101.576
2,240,1200,91.875
2,300,1440,95.234
2,360,900,92.775
2,420,1140,98.151
2,480,1380,99.764
2,540,1020,99.725
2,600,1140,91.776
2,660,1440,100.604
2,720,1560,89.663
2,780,1080,93.727
2,840,1440,93.618
2,900,1320,92.719
2,960,1200,91.649
2,1020,1560,90.284
2,1080,1200,88.741
2,1140,1440,95.784
2,1200,1380,80.164
2,1260,1560,76.537
2,1320,1080,36.527
2,1380,900,20.261
2,1440,780,20.433
2,1500,660,8.62
2,1560,600,10.222
2,1620,660,17.624
2,1680,480,9.802
2,1740,660,10.31
2,1800,420,11.182
2,1860,600,10.537
2,1920,540,11.619
2,1980,660,17.994
2,2040,360,11.92
2,2100,480,10.602
2,2160,240,6.235
2,2220,300,6.849
2,2280,480,9.668
2,2340,540,18.485
2,2400,480,12.554
2,2460,480,10.428
2,2520,420,7.484
2,2580,480,6.75
2,2640,300,7.233
2,2700,360,10.856
2,2760,600,15.868
2,2820,420,8.721
2,2880,600,13.021
2,2940,900,18.246
2,3000,480,11.772
2,3060,900,25.63
2,3120,1500,38.865
2,3180,1440,27.085
2,3240,1080,30.995
2,3300,600,9.251
2,3360,600,12.59
2,3420,540,22.707
2,3480,1440,35.125
2,3540,1560,49.091
3,0,60,111.434
3,60,360,125.829
3,120,780,116.302
3,180,900,113.65
3,240,900,110.463
3,300,1920,100.333
3,360,1500,98.694
3,420,1500,110.169
3,480,1500,109.305
3,540,1620,96.334
3,600,1500,108.108
3,660,1680,103.273
3,720,1620,105.52
3,780,1740,105.129
3,840,2040,104.639
3,900,1740,110.998
3,960,1500,109.178
3,1020,2160,98.65
3,1080,1980,91.667
3,1140,1740,99.865
3,1200,1620,97.129
3,1260,1500,85.65
3,1320,1380,79.439
3,1380,1080,84.816
3,1440,1080,83.52
3,1500,1200,82.455
3,1560,1080,82.575
3,1620,840,83.899
3,1680,1140,82.755
3,1740,1140,81.405
3,1800,1080,79.9
3,1860,960,83.812
3,1920,960,83.374
3,1980,1080,78.582
3,2040,900,84.163
3,2100,900,83.55
3,2160,1080,82.436
3,2220,960,86.003
3,2280,1020,81.139
3,2340,1140,82.399
3,2400,960,81.834
3,2460,900,81.215
3,2520,1080,81.658
3,2580,1260,82.885
3,2640,900,80.836
3,2700,1020,82.499
3,2760,1080,82.388
3,2820,1020,82.4
3,2880,840,80.087
3,2940,840,81.795
3,3000,1080,80.796
3,3060,1560,79.915
3,3120,1800,83.823
3,3180,1620,80.688
3,3240,1200,75.417
3,3300,1020,84.711
3,3360,900,84.582
3,3420,1320,81.385
3,3480,1680,78.519
3,3540,1620,74.137
4,0,420,102.168
4,60,960,113.121
4,120,1140,106.603
4,180,1380,98.955
4,240,1620,91.004
4,300,2160,86.799
4,360,1980,87.443
4,420,1860,92.166
4,480,1800,92.064
4,540,1980,79.788
4,600,1680,88.106
4,660,1920,87.154
4,720,2280,90.021
4,780,1800,87.183
4,840,1980,86.914
4,900,1560,87.633
4,960,1740,90.754
4,1020,2040,73.312
4,1080,2280,73.908
4,1140,2160,78.126
4,1200,1980,74.651
4,1260,1800,80.896
4,1320,1800,73.4
4,1380,1440,77.285
4,1440,1620,74.789
4,1500,1260,76.352
4,1560,1380,77.303
4,1620,1080,75.554
4,1680,1260,73.068
4,1740,1380,76.582
4,1800,1380,78.306
4,1860,1380,74.178
4,1920,1140,76.23
4,1980,1440,75.192
4,2040,1380,79.973
4,2100,1380,77.93
4,2160,1440,76.325
4,2220,1260,79.529
4,2280,1320,77.378
4,2340,1260,77.337
4,2400,1260,77.189
4,2460,1320,79.393
4,2520,1080,73.821
4,2580,1080,78.271
4,2640,1320,75.289
4,2700,1140,74.629
4,2760,1260,78.901
4,2820,1380,79.365
4,2880,1320,74.234
4,2940,1380,75.237
4,3000,1320,80.012
4,3060,1860,75.156
4,3120,2040,72.939
4,3180,1800,73.678
4,3240,1620,71.361
4,3300,1140,74.596
4,3360,1380,76.707
4,3420,1620,76.062
4,3480,1920,73.101
4,3540,1860,68.698
